Date,Method,Window,Mode,Hub_ticker,Hub_degree,Hub_tied,Hub_sector,N_nodes,Is_dominant_hub
2020-03-27,symbolic,240,strict,GFNORTEO.MX,10,False,Financial,35,False
2020-03-30,symbolic,240,strict,GFNORTEO.MX,9,False,Financial,35,False
2020-03-31,symbolic,240,strict,GFNORTEO.MX,9,False,Financial,35,False
2020-04-01,symbolic,240,strict,GFNORTEO.MX,9,False,Financial,35,False
2020-04-02,symbolic,240,strict,GFNORTEO.MX,9,False,Financial,35,False
2020-04-03,symbolic,240,strict,GFNORTEO.MX,10,False,Financial,35,False
2020-04-06,symbolic,240,strict,GFNORTEO.MX,9,False,Financial,35,False
2020-04-07,symbolic,240,strict,GFNORTEO.MX,8,False,Financial,35,False
2020-04-08,symbolic,240,strict,GFNORTEO.MX,9,False,Financial,35,False
2020-04-13,symbolic,240,strict,GFNORTEO.MX,8,False,Financial,35,False
2020-04-14,symbolic,240,strict,GFNORTEO.MX,7,False,Financial,35,False
2020-04-15,symbolic,240,strict,GFNORTEO.MX,8,False,Financial,35,False
2020-04-16,symbolic,240,strict,GFINBURO.MX,7,False,Financial,35,False
2020-04-17,symbolic,240,strict,GFNORTEO.MX,6,False,Financial,35,False
2020-04-20,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-04-21,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-04-22,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-04-23,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-04-24,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-04-27,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-04-28,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-04-29,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-04-30,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-05-04,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-05-05,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-05-06,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-05-07,symbolic,240,strict,GAPB.MX,9,False,Airports,35,True
2020-05-08,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-05-11,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-05-12,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-05-13,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-05-14,symbolic,240,strict,GAPB.MX,9,False,Airports,35,True
2020-05-15,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-05-18,symbolic,240,strict,GAPB.MX,9,False,Airports,35,True
2020-05-19,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-05-20,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-05-21,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
